Author,Quote,Tags
Jane Austen,"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”","['aliteracy', 'books', 'classic', 'humor']"
Mark Twain,"“Good friends, good books, and a sleepy conscience: this is the ideal life.”","['books', 'contentment', 'friends', 'friendship', 'life']"
Jorge Luis Borges,“I have always imagined that Paradise will be a kind of library.”,"['books', 'library']"
C.S. Lewis,“You can never get a cup of tea large enough or a book long enough to suit me.”,"['books', 'inspirational', 'reading', 'tea']"
Haruki Murakami,"“If you only read the books that everyone else is reading, you can only think what everyone else is thinking.”","['books', 'thought']"
Ernest Hemingway,“There is no friend as loyal as a book.”,"['books', 'friends', 'novelist-quotes']"
J.D. Salinger,"“What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.”","['authors', 'books', 'literature', 'reading', 'writing']"
Mark Twain,“′Classic′ - a book which people praise and don't read.”,"['books', 'classic', 'reading']"
Jane Austen,"“I declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book! -- When I have a house of my own, I shall be miserable if I have not an excellent library.”","['books', 'library', 'reading']"
Madeleine L'Engle,"“You have to write the book that wants to be written. And if the book will be too difficult for grown-ups, then you write it for children.”","['books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing']"
